node depth weight,time to finish weight,win/fail,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
0.8,1.6,99.11330049261083,0.9979310344827585,671.4896551724138,373.5674876847291,669.9940886699508,18.23743842364532,69929.94876847291,425.192118226601
0.8,1.8,99.01477832512316,0.9974876847290641,669.3556650246305,373.33891625615763,667.8935960591133,18.216748768472907,69610.0433497537,425.21576354679803
0.8,2.0,99.01477832512316,0.9974876847290641,670.8285714285714,373.55172413793105,669.3408866995073,18.221674876847292,70355.960591133,427.50935960591136
1.0,0.2,99.01477832512316,0.997911330049261,667.7261083743842,373.5743842364532,666.335960591133,18.11822660098522,70103.76354679803,425.6620689655172
1.0,0.4,99.11330049261083,0.9979310344827585,675.0975369458129,373.6295566502463,673.5261083743842,18.31625615763547,70235.47684729064,424.8886699507389
1.0,0.6,99.01477832512316,0.997911330049261,670.271921182266,373.7133004926108,668.8,18.232512315270935,69890.62068965517,422.23152709359607
1.0,0.8,99.11330049261083,0.9979310344827585,668.9576354679803,373.60886699507387,667.4541871921182,18.160591133004925,69849.47684729064,423.0423645320197
1.0,1.0,99.11330049261083,0.9979310344827585,671.3349753694581,373.5990147783251,669.8926108374384,18.273891625615764,70197.27586206897,428.6965517241379
1.0,1.2,99.11330049261083,0.9979310344827585,672.3004926108374,373.7192118226601,670.7822660098523,18.254187192118227,70450.48078817734,420.1950738916256
1.0,1.4,99.01477832512316,0.9974876847290641,679.1615763546798,373.42266009852216,677.648275862069,18.45221674876847,71029.25911330049,427.15960591133006
1.0,1.6,99.11330049261083,0.9979310344827585,679.1389162561576,373.75172413793103,677.5812807881773,18.454187192118226,70585.6118226601,424.0778325123153
1.0,1.8,99.01477832512316,0.9974876847290641,668.6620689655173,373.49950738916255,667.0768472906404,18.182266009852217,69841.97044334975,427.03251231527094
1.0,2.0,99.11330049261083,0.9979310344827585,669.0906403940887,373.5586206896552,667.4995073891625,18.210837438423646,69592.04926108374,422.6512315270936
1.2,0.2,99.11330049261083,0.9979310344827585,672.8669950738916,373.5310344827586,671.3103448275862,18.32512315270936,69920.68177339902,428.37339901477833
1.2,0.4,99.01477832512316,0.997911330049261,677.7162561576355,373.7576354679803,676.2295566502463,18.429556650246305,70967.01576354679,426.1753694581281
1.2,0.6,98.91625615763546,0.9976453201970443,672.5389162561577,373.45123152709357,671.015763546798,18.344827586206897,70316.90935960591,427.8600985221675
1.2,0.8,99.01477832512316,0.9974384236453202,679.2502463054187,373.44532019704434,677.7024630541872,18.500492610837437,71057.06206896552,421.0177339901478
1.2,1.0,99.01477832512316,0.997911330049261,673.3330049261084,373.73793103448276,671.7812807881774,18.3320197044335,70041.53694581281,420.1960591133005
1.2,1.2,99.11330049261083,0.9979310344827585,674.0738916256157,373.679802955665,672.5448275862069,18.336945812807883,70317.3921182266,424.3211822660098
1.2,1.4,99.11330049261083,0.9979310344827585,668.8807881773399,373.56354679802956,667.3546798029556,18.223645320197043,69909.8354679803,417.74384236453204
1.2,1.6,99.11330049261083,0.9979310344827585,670.9497536945813,373.64630541871924,669.3911330049261,18.210837438423646,70365.03054187192,426.41970443349754
1.2,1.8,99.01477832512316,0.9974876847290641,669.0699507389163,373.39704433497536,667.5123152709359,18.25615763546798,69337.92118226601,424.4935960591133
1.2,2.0,99.11330049261083,0.9979310344827585,686.6206896551724,373.6216748768473,685.1576354679803,18.63448275862069,71924.26403940887,426.7566502463054
1.4,0.2,98.91625615763546,0.9974876847290641,678.6630541871921,373.4778325123153,677.24039408867,18.532019704433498,70517.06600985222,427.98522167487687
1.4,0.4,99.01477832512316,0.9974876847290641,669.9901477832512,373.40295566502465,668.4413793103448,18.24433497536946,70203.33793103449,419.120197044335
1.4,0.6,99.01477832512316,0.997911330049261,681.8098522167488,373.58620689655174,680.2847290640394,18.51231527093596,71580.22167487684,432.2216748768473
1.4,0.8,99.11330049261083,0.9979310344827585,672.7261083743842,373.53399014778324,671.2167487684729,18.31822660098522,70337.1802955665,420.64039408866995
1.4,1.0,99.01477832512316,0.997911330049261,671.9408866995074,373.8600985221675,670.4374384236453,18.36551724137931,70540.521182266,423.0029556650246
1.4,1.2,99.01477832512316,0.997911330049261,674.6334975369458,373.5901477832512,673.0729064039409,18.35960591133005,70300.33694581281,425.7448275862069
1.4,1.4,99.01477832512316,0.997911330049261,677.3054187192118,373.69261083743845,675.7014778325123,18.43349753694581,70649.97438423646,428.24532019704435
1.4,1.6,99.01477832512316,0.9974975369458129,684.8807881773399,373.4049261083744,683.3527093596059,17.94679802955665,70164.02660098522,426.41379310344826
1.4,1.8,99.11330049261083,0.9987192118226601,621.3990147783251,373.50935960591136,619.7418719211822,15.058128078817735,64389.412807881774,454.0137931034483
1.4,2.0,99.11330049261083,0.9987192118226601,629.9064039408867,373.6167487684729,628.3320197044335,14.934975369458128,66552.03448275862,459.85714285714283
