searchSteps,timeToFinishWeight,levelPack,levelIndex,win,% travelled,run time,game ticks,planning time,total plannings,nodes evaluated,most backtracked nodes
1,1.0,original,5,true,1.00,9005,307,9005,272,844141,3038
1,1.0,original,6,false,0.92,6407,208,6405,208,652079,3485
1,1.0,original,7,true,1.00,10528,351,10526,316,1034877,2731
1,1.0,original,8,true,1.00,8265,307,8264,250,799685,3589
1,1.0,original,9,true,1.00,9193,306,9192,277,859119,2681
1,1.0,original,10,true,1.00,5801,228,5801,169,588404,3454
1,1.0,original,11,true,1.00,9084,312,9083,275,899282,3048
1,1.0,original,12,true,1.00,10756,377,10754,325,1088870,3200
1,1.0,original,13,true,1.00,1624,245,1622,49,175343,210
1,1.0,original,14,true,1.00,8630,294,8628,260,853103,3270
1,1.0,original,15,true,1.00,18829,599,18829,569,1813053,2871
1,1.0,krys,1,false,0.79,6736,225,6736,225,675823,2486
1,1.0,krys,2,true,1.00,7782,275,7782,236,756037,2974
1,1.0,krys,3,false,0.70,32403,999,32403,999,3413062,3399
1,1.0,krys,4,false,0.66,5489,175,5489,175,530506,2723
1,1.0,krys,5,true,1.00,7561,253,7561,229,791150,3176
1,1.0,krys,6,false,0.59,32169,999,32169,999,3652973,3209
1,1.0,krys,7,true,1.00,7329,246,7329,222,486320,2555
1,1.0,krys,8,true,1.00,8068,273,8051,244,707997,2995
1,1.0,krys,9,true,1.00,8121,273,8121,246,847431,3406
1,1.0,krys,10,false,0.85,7485,241,7484,241,774764,2956
1,1.0,krys,11,true,1.00,8296,279,8296,251,790655,2688
1,1.0,krys,12,true,1.00,9552,314,9550,289,925384,2754
1,1.0,krys,13,true,1.00,7764,263,7764,235,767414,2761
1,1.0,krys,14,false,0.79,32510,999,32510,999,3549817,2469
1,1.0,krys,15,false,0.80,7328,231,7327,231,799852,3426
1,1.0,patternCount,1,true,1.00,8724,310,8723,263,896719,3421
1,1.0,patternCount,2,true,1.00,8660,300,8659,259,837296,2641
1,1.0,patternCount,3,true,1.00,7651,300,7650,231,727007,2677
1,1.0,patternCount,4,true,1.00,9097,310,9095,273,891553,2506
1,1.0,patternCount,5,true,1.00,9015,310,9000,270,888806,3333
1,1.0,patternCount,6,true,1.00,8117,300,8117,244,786105,2798
1,1.0,patternCount,7,true,1.00,8866,302,8866,268,865301,2944
1,1.0,patternCount,8,true,1.00,2281,305,2279,69,218633,2620
1,1.0,patternCount,9,true,1.00,8572,300,8571,259,854366,2999
1,1.0,patternCount,10,true,1.00,8588,302,8582,258,860942,2686
1,1.0,patternCount,11,true,1.00,8466,306,8465,256,787820,2544
1,1.0,patternCount,12,true,1.00,8829,300,8828,262,863116,2886
1,1.0,patternCount,13,true,1.00,8645,300,8643,259,829116,2987
1,1.0,patternCount,14,true,1.00,8811,302,8810,265,855403,2602
1,1.0,patternCount,15,true,1.00,8794,304,8793,266,897292,2736
1,1.2,original,1,true,1.00,8985,313,8985,272,935858,2131
1,1.2,original,2,true,1.00,5612,262,5611,170,549181,3154
1,1.2,original,3,false,0.54,3667,124,3666,124,422269,172
1,1.2,original,4,true,1.00,10460,355,10460,317,991981,3006
1,1.2,original,5,true,1.00,9834,339,9832,298,965405,2962
1,1.2,original,6,false,0.41,2735,97,2735,97,319027,172
1,1.2,original,7,true,1.00,10919,371,10919,331,1094694,3183
1,1.2,original,8,true,1.00,3995,310,3993,121,390741,2670
1,1.2,original,9,true,1.00,8942,311,8941,271,864479,3073
1,1.2,original,10,true,1.00,4849,232,4848,147,546113,2326
1,1.2,original,11,true,1.00,8814,316,8813,267,911610,3257
1,1.2,original,12,true,1.00,11977,405,11976,363,1190086,3334
1,1.2,original,13,false,0.88,6980,224,6980,224,538823,1262
1,1.2,original,14,true,1.00,7940,283,7936,240,780026,1097
1,1.2,original,15,true,1.00,19381,631,19380,587,1861084,3249
1,1.2,krys,1,false,0.76,6806,212,6806,212,676435,2240
1,1.2,krys,2,true,1.00,6138,272,6137,186,599965,2946
1,1.2,krys,3,false,0.70,32404,999,32404,999,3513772,3408
1,1.2,krys,4,false,0.66,5839,186,5839,186,584380,2946
1,1.2,krys,5,true,1.00,5772,243,5771,175,599980,2986
1,1.2,krys,6,true,1.00,6863,284,6861,208,739284,2688
1,1.2,krys,7,true,1.00,7744,262,7744,235,815890,3218
1,1.2,krys,8,true,1.00,7467,262,7467,226,711797,2991
1,1.2,krys,9,true,1.00,7429,267,7428,225,815585,3610
1,1.2,krys,10,false,0.85,7761,250,7761,250,819495,3377
1,1.2,krys,11,true,1.00,8450,289,8449,256,816571,3219
1,1.2,krys,12,true,1.00,7330,296,7329,222,736315,2791
1,1.2,krys,13,true,1.00,7287,261,7287,221,753463,3204
1,1.2,krys,14,false,0.79,32493,999,32493,999,3624707,2650
1,1.2,krys,15,false,0.80,7289,230,7289,230,795273,2328
1,1.2,patternCount,1,false,0.92,9402,298,9401,298,1053738,2967
1,1.2,patternCount,2,true,1.00,102,314,98,3,9207,432
1,1.2,patternCount,3,true,1.00,3502,320,3500,106,346426,2528
1,1.2,patternCount,4,true,1.00,760,324,757,23,78760,1461
1,1.2,patternCount,5,true,1.00,592,322,589,18,65646,3170
1,1.2,patternCount,6,true,1.00,30,320,27,1,2540,414
1,1.2,patternCount,7,true,1.00,31,322,28,1,2802,570
1,1.2,patternCount,8,true,1.00,130,325,127,4,13262,1443
1,1.2,patternCount,9,true,1.00,1224,316,1221,37,124598,1719
1,1.2,patternCount,10,true,1.00,358,314,356,11,36525,1275
1,1.2,patternCount,11,true,1.00,7332,315,7331,222,660874,1656
1,1.2,patternCount,12,true,1.00,5288,322,5286,160,528809,3218
1,1.2,patternCount,13,true,1.00,23,312,20,1,1745,361
1,1.2,patternCount,14,true,1.00,60,315,57,2,5147,1165
1,1.2,patternCount,15,true,1.00,431,314,428,13,44264,1519
1,1.4,original,1,true,1.00,4032,321,4030,122,401835,1554
1,1.4,original,2,true,1.00,5493,264,5492,167,515257,2579
1,1.4,original,3,false,0.54,3666,124,3666,124,416309,492
1,1.4,original,4,true,1.00,10960,380,10960,332,1052562,3293
1,1.4,original,5,true,1.00,10481,359,10480,318,948539,2728
1,1.4,original,6,false,0.41,2739,97,2739,97,323272,375
1,1.4,original,7,true,1.00,10718,367,10717,325,1101702,3011
1,1.4,original,8,true,1.00,3862,314,3860,117,361074,1700
1,1.4,original,9,true,1.00,9247,325,9246,280,925945,1254
1,1.4,original,10,false,0.53,3631,123,3630,123,425088,421
1,1.4,original,11,true,1.00,9537,334,9536,289,995440,2838
1,1.4,original,12,true,1.00,12228,416,12228,370,1199269,2620
1,1.4,original,13,true,1.00,7062,267,7061,214,528640,3256
