searchSteps,startWeight,endWeight,exponent,dynamicEnabled,gamesPlayed,wins,winRate,avgRunTime,avgPlanningTime,avgGameTicks,avgNodesEvaluated,avgMostBacktrackedNodes,avgPercentageTravelled
3,1.3,0.7,1.8,True,215,213,0.9906976744186047,2433.758139534884,2426.4,472.72558139534885,78233.27441860465,357.706976744186,0.9985581395348837
3,1.3,0.9,1.8,True,215,213,0.9906976744186047,2386.6046511627906,2382.767441860465,472.89767441860465,81229.34418604651,372.3627906976744,0.9985581395348837
3,1.5,0.7,1.8,True,215,214,0.9953488372093023,2035.9302325581396,2031.739534883721,478.8139534883721,70117.03720930233,316.89767441860465,0.9999069767441862
3,1.5,0.9,1.8,True,215,213,0.9906976744186047,1951.2651162790698,1947.1116279069768,477.52093023255816,67469.16279069768,314.54418604651164,0.9985581395348837
3,0.8,1.4,2.0,True,215,214,0.9953488372093023,3365.3627906976744,3361.655813953488,420.9116279069767,273672.68372093025,1541.1116279069768,0.9995813953488372
3,0.8,1.6,2.0,True,215,215,1.0,3652.0093023255813,3650.572093023256,413.8837209302326,296286.4511627907,1722.0279069767441,1.0
3,1.0,1.2,2.0,True,215,213,0.9906976744186047,3645.297674418605,3641.860465116279,446.0558139534884,120628.01395348838,600.7674418604652,0.9972558139534884
3,1.0,1.4,2.0,True,430,427,0.9930232558139535,2933.858139534884,2931.4627906976743,443.2581395348837,141757.1441860465,797.8604651162791,0.9984186046511627
3,1.0,1.6,2.0,True,215,215,1.0,1932.5720930232558,1930.9441860465117,438.74883720930234,157363.06511627906,1034.6232558139534,1.0
3,1.2,0.6,2.0,True,215,214,0.9953488372093023,2746.181395348837,2742.204651162791,466.7395348837209,88762.35813953489,400.1441860465116,0.9986511627906975
3,1.2,0.8,2.0,True,430,429,0.9976744186046511,2000.039534883721,1996.1627906976744,465.56976744186045,98346.81627906977,514.7604651162791,0.9993255813953488
3,1.2,1.0,2.0,True,215,215,1.0,1331.3627906976744,1329.386046511628,463.5813953488372,114385.36279069768,627.5162790697674,1.0
3,1.2,1.2,2.0,True,215,213,0.9906976744186047,2733.553488372093,2729.818604651163,465.04186046511626,92823.56279069767,440.51627906976745,0.9982325581395349
3,1.2,1.4,2.0,True,430,429,0.9976744186046511,2019.3186046511628,2016.632558139535,462.96046511627907,99933.68604651163,571.4906976744186,0.9993255813953488
3,1.2,1.6,2.0,True,215,215,1.0,1272.8697674418604,1270.9627906976743,461.30697674418604,106380.81395348837,726.2883720930232,1.0
3,1.4,0.6,2.0,True,215,214,0.9953488372093023,2259.3488372093025,2255.26511627907,475.2,73656.02790697674,325.33953488372094,0.9999069767441862
3,1.4,0.8,2.0,True,430,428,0.9953488372093023,1725.3418604651163,1722.3837209302326,477.04186046511626,88809.67906976744,440.8767441860465,0.9992790697674419
3,1.4,1.0,2.0,True,215,215,1.0,1094.5023255813953,1092.4744186046512,478.71162790697673,96024.82790697674,552.9348837209302,1.0
3,1.6,0.8,2.0,True,215,214,0.9953488372093023,1019.0093023255814,1016.6139534883721,481.09767441860464,90494.32093023256,476.8046511627907,0.9999069767441862
3,1.6,1.0,2.0,True,215,214,0.9953488372093023,1048.8139534883721,1046.3906976744186,482.7860465116279,93234.14418604651,456.7348837209302,0.9999069767441862
3,0.9,1.5,2.2,True,215,213,0.9906976744186047,5129.223255813953,5126.088372093023,431.7720930232558,150996.4511627907,688.7860465116279,0.9977209302325581
3,0.9,1.7,2.2,True,215,211,0.9813953488372092,5466.339534883721,5463.7302325581395,433.28837209302327,169345.82790697674,735.4604651162791,0.995906976744186
3,1.1,1.5,2.2,True,215,214,0.9953488372093023,3389.246511627907,3385.8325581395347,448.3488372093023,105462.96744186047,515.9209302325581,0.9986511627906975
3,1.1,1.7,2.2,True,215,213,0.9906976744186047,3633.6744186046512,3630.4,448.51162790697674,112692.00465116279,554.2744186046511,0.9972558139534884
3,1.3,0.7,2.2,True,215,213,0.9906976744186047,2361.013953488372,2356.9581395348837,472.7581395348837,79806.46976744186,361.0279069767442,0.9985581395348837
3,1.3,0.9,2.2,True,215,213,0.9906976744186047,2403.860465116279,2399.893023255814,471.8837209302326,81837.10697674418,377.7348837209302,0.9985581395348837
